date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:28:44	490533/490533	---M--	200	added ('OK')	image/png	etag:W/%2277c25-17d08dd5a00%22	https://rici.io/images/section-head/items-left.png	C:/Users/Admin/Desktop/web%20si/websi/rici.io/images/section-head/items-left.png	(from https://rici.io/)
03:28:44	337739/337739	---M--	200	added ('OK')	image/png	etag:W/%225274b-17d08dd5a00%22	https://rici.io/images/section-head/items-right.png	C:/Users/Admin/Desktop/web%20si/websi/rici.io/images/section-head/items-right.png	(from https://rici.io/)
03:28:44	910484/910484	---M--	200	added ('OK')	image/png	etag:W/%22de494-17d08dd5a00%22	https://rici.io/images/section-head/cat.png	C:/Users/Admin/Desktop/web%20si/websi/rici.io/images/section-head/cat.png	(from https://rici.io/)
03:28:44	84849/84849	---M--	200	added ('OK')	image/png	etag:W/%2214b71-17cf3b6b590%22	https://rici.io/images/buttons/buy-rici.png	C:/Users/Admin/Desktop/web%20si/websi/rici.io/images/buttons/buy-rici.png	(from https://rici.io/)
03:28:44	37805/37805	---M--	200	added ('OK')	image/png	etag:W/%2293ad-17d05a42030%22	https://rici.io/images/buttons/contract-address.png	C:/Users/Admin/Desktop/web%20si/websi/rici.io/images/buttons/contract-address.png	(from https://rici.io/)
03:28:45	75639/75639	---M--	200	added ('OK')	image/png	etag:W/%2212777-17cf3b8b930%22	https://rici.io/images/buttons/how-to-play.png	C:/Users/Admin/Desktop/web%20si/websi/rici.io/images/buttons/how-to-play.png	(from https://rici.io/)
03:28:45	656212/656212	---M--	200	added ('OK')	image/png	etag:W/%22a0354-17d08dd5a00%22	https://rici.io/images/section-head/about.png	C:/Users/Admin/Desktop/web%20si/websi/rici.io/images/section-head/about.png	(from https://rici.io/)
03:28:45	568812/568812	---M--	200	added ('OK')	image/png	etag:W/%228adec-17d08dd5a00%22	https://rici.io/images/section-head/video.png	C:/Users/Admin/Desktop/web%20si/websi/rici.io/images/section-head/video.png	(from https://rici.io/)
03:28:46	3575/3575	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2020%20Nov%202021%2020:28:46%20GMT	https://rici.io/'/images/sections-body-background.png'	C:/Users/Admin/Desktop/web%20si/websi/rici.io/'/images/sections-body-background.png'	(from https://rici.io/)
03:28:46	134164/134164	---M--	200	added ('OK')	image/png	etag:W/%2220c14-17cf856a380%22	https://rici.io/images/earth-3.png	C:/Users/Admin/Desktop/web%20si/websi/rici.io/images/earth-3.png	(from https://rici.io/)
03:28:47	66057/66057	---M--	200	added ('OK')	image/png	etag:W/%2210209-17d05a42030%22	https://rici.io/images/buttons/light-paper.png	C:/Users/Admin/Desktop/web%20si/websi/rici.io/images/buttons/light-paper.png	(from https://rici.io/)
03:28:47	1687033/1687033	---M--	200	added ('OK')	image/png	etag:W/%2219bdf9-17d05c5a250%22	https://rici.io/images/tokenomics.png	C:/Users/Admin/Desktop/web%20si/websi/rici.io/images/tokenomics.png	(from https://rici.io/)
03:28:48	2119/2119	---M--	200	added ('OK')	image/png	etag:W/%22847-17d05a42030%22	https://rici.io/images/icon-telegram.png	C:/Users/Admin/Desktop/web%20si/websi/rici.io/images/icon-telegram.png	(from https://rici.io/)
03:28:48	937662/937662	---M--	200	added ('OK')	image/png	etag:W/%22e4ebe-17d05a42030%22	https://rici.io/images/airdrop.png	C:/Users/Admin/Desktop/web%20si/websi/rici.io/images/airdrop.png	(from https://rici.io/)
03:28:48	63391/63391	---M--	200	added ('OK')	image/png	etag:W/%22f79f-17d05a42030%22	https://rici.io/images/airdrop-footer.png	C:/Users/Admin/Desktop/web%20si/websi/rici.io/images/airdrop-footer.png	(from https://rici.io/)
